String,Count_1,Count_2,Encoded,Padded,Prob_1,Prob_2
GyGy(Gx)^8GxGx,517,483,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0",0.517,0.483
GxGx(Gx)^8Gy,475,525,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.475,0.525
GxGx(Gx)^8GxGx,0,1000,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(Gx)^8,490,510,"2, 1, 1, 1, 1, 1, 1, 1, 1","2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.49,0.51
Gy(Gx)^8Gy,0,1000,"2, 1, 1, 1, 1, 1, 1, 1, 1, 2","2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(Gx)^8GxGx,476,524,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.476,0.524
(Gy)^8,1000,0,"2, 2, 2, 2, 2, 2, 2, 2","2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
(Gy)^8Gy,483,517,"2, 2, 2, 2, 2, 2, 2, 2, 2","2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.483,0.517
(Gy)^8GxGx,490,510,"2, 2, 2, 2, 2, 2, 2, 2, 1, 1","2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.49,0.51
GyGy(Gy)^8,0,1000,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
